,annotation_id,id,text,class,label
528,56119647,1884663542328037646,Wir stimmen vernünftigen Anträgen zu – so auch heute mit Mehrheit.,Non-Propaganda,0
1786,56627028,1891823944522481875,US-Doku: Deutschland unterdrückt Meinungsfreiheit – Zeit für freie Meinung!,Propaganda,1
1797,56124548,1883797689424384409,Nie wieder ist jetzt.,Propaganda,1
630,56117622,1887638491237957906,Die sind das große soziale Problem unserer Zeit.,Propaganda,1
1096,56121761,1875496371542806573,"Heute, am 4. Januar - nach nur 3 Tagen und 10 Stunden – haben die Bosse der DAX-Konzerne das durchschnittliche Jahreseinkommen von Vollzeit-Beschäftigten in der Tasche.",Propaganda,1
1354,56117575,1892307619429118384,"Dass die AfD überhaupt in Deutschland noch diese Rolle spielt, hängt mit Ihrer Regierung zusammen, Herr Scholz.",Non-Propaganda,0
470,56617393,1882451754438250999,"Beim Täter zeigt sich ein Muster aus Herkunft, früherer Auffälligkeit und nicht vollzogener Ausreisepflicht.",Non-Propaganda,0
1429,56617456,1887627739353559423,jan_vanaken in der Schnellfragerunde im Schlagabtausch,Non-Propaganda,0
545,56118243,1889430451103867373,"Ihr jahrzehntelanges Wirken für Versöhnung, Dialog und Zusammenarbeit zwischen unseren Ländern verdient höchste Anerkennung.",Non-Propaganda,0
523,56118704,1891036214087553310,Trump wird uns eine zerstörte Ukraine vor die Füße kehren.,Propaganda,1
1935,56620642,1880617389768990758,Wir haben Bock!,Propaganda,1
833,56117920,1892964052143325200,Jetzt testen!,Non-Propaganda,0
1448,56617624,1891232936420131184,Krass – Weidel hat Merz gestellt:,Non-Propaganda,0
1393,56066256,1875129510682918915,"Ich hoffe, dass herbert_kickl_ und die FPÖ als stärkste Kraft nun endlich eine Regierung bilden können!",Non-Propaganda,0
210,56620755,1888567714043527602,"Jetzt beginnt unsere Aussprache zur Rede von c_lindner - den Anfang macht johannesvogel, stellvertretender Parteivorsitzender.",Non-Propaganda,0
813,56621293,1885317940783780015,"Merz wiederum bezeichnet die AfD erneut als ""rechtsextrem"".",Non-Propaganda,0
203,56118894,1883087426945728873,Ab 11 Uhr kämpft er hier für den Politikwechsel in Deutschland.,Propaganda,1
1149,56069673,1891599445394944009,"Doch was geliefert wurde, blieb weit unter den eigenen Zielen.",Non-Propaganda,0
788,56065479,1875835071967760840,"Wir setzen dabei auf die Themen, die die Menschen in ihrem Alltag am meisten umtreiben: stabile Renten, Arbeitsplätze, mehr Netto vom Brutto.",Propaganda,1
722,56119579,1888634555009052952,Schaltet ein und diskutiert mit.,Non-Propaganda,0
1783,56617172,1891219373936837008,Das Geld muss für die deutschen Steuerzahler eingesetzt werden.,Propaganda,1
632,56119120,1883800689656373488,Doch die Gräueltaten der Nazis dürfen niemals in Vergessenheit geraten.,Non-Propaganda,0
7,56616790,1874800096971477027,In CDU-regierten Ländern werden diese Menschen am Fließband eingebürgert.,Propaganda,1
392,56125140,1882384801489105297,"Wir dürfen nicht zulassen, dass solche Verbrechen Teil unseres Alltags werden.",Propaganda,1
283,56298443,1878358894034182651,"Zeit für Deutschland"": 16. AfD-Bundesparteitag live aus Riesa! - Tag 2",Propaganda,1
1897,56617995,1887777406112411689,Eine wirkliche Migrationswende kann die Union nur mit der AfD umsetzen!,Propaganda,1
1361,56627024,1879075907022823599,Zeit für bezahlbare Energie!,Propaganda,1
792,56071899,1893281001641505220,"Sonntag kann man sein Kreuz für den Frieden machen, aber nicht bei der Partei, die mit 200 Milliarden Aufrüstung, Wehrpflicht & Waffenlieferungen nach liebäugelt.",Propaganda,1
121,56616567,1890780126956138992,Unsere ganze Art zu leben ist in Gefahr.,Propaganda,1
692,56621666,1880210219965567035,Wir wollen Menschen spürbar entlasten!,Propaganda,1
1944,56071914,1889263965600968850,"Die Steuersenkungspläne der Union für Superreiche & erfolgreiche Unternehmen umfassten 100 Mrd. jährlich, so larsklingbeil.",Non-Propaganda,0
481,56125199,1892559263660208496,"Egal, ob die Union mit SPD, FDP oder Grünen regiert: Nach der Wahl soll die Bevölkerung für den Ukraineaufbau und neue Rüstungspakte blechen.",Propaganda,1
1889,56119230,1884207911611556186,In dieser Woche will die Union mit den Stimmen der AfD zum ersten Mal einen Antrag im Parlament durchbringen.,Non-Propaganda,0
1408,56125124,1887166485555990741,"Nur mit einer starken SPD kann verhindert werden, dass in Deutschland provinzieller Kleingeist und kulturelle Provinzialität die Überhand gewinnen.",Propaganda,1
163,56071573,1874443285038768382,"Eine gerechte Gesellschaft, in der die Menschen im Mittelpunkt stehen.",Propaganda,1
1566,56069323,1886377846622339267,"Es geht jetzt darum, ein klares und starkes Signal in die Bundesrepublik Deutschland zu senden:",Propaganda,1
1073,56066265,1881794724144832541,Genau!,Non-Propaganda,0
1168,56618760,1877976218135302299,"Interessant wie das linke Establishment vorgeht, um Meinungen zu unterdrücken.",Propaganda,1
188,56621299,1888161264909582772,Alexander Dobrindt: Der Brandbeschleuniger für die AfD war die respektlose Politik der Ampel in den letzten drei Jahren.,Propaganda,1
1865,56125702,1885352764722590149,Dafür stehen wir ein.,Non-Propaganda,0
602,56119075,1888468800510595236,Unser Parteitag bpt25 beginnt heute um 11 Uhr.,Non-Propaganda,0
6,56119288,1888554560228110644,Die Mitte gerät unter Druck von links.,Non-Propaganda,0
1781,56616593,1874379727030603845,"2025 haben Sie, habt Ihr die Wahl, ganz wörtlich.",Non-Propaganda,0
1367,56121956,1893217394551669232,Die Herausforderungen der letzten Jahre nagen an uns allen.,Propaganda,1
1642,56118658,1879597580834984318,Wir bringen den Politikwechsel zu DIR!,Propaganda,1
1622,56071783,1880602881864188043,Die Linke ist nicht kaputtzumachen.,Non-Propaganda,0
1775,56118538,1886862916592529867,In der Debatte über Trumps Drohungen gegen Grönland überbieten sich wieder die üblichen Verdächtigen mit PR-Nummern wie NATO Truppen.,Propaganda,1
1588,56124287,1873370673667543283,Ich halte die Daten- und Kommunikationsmacht von Elon Musk selbstverständlich für eine Gefahr.,Propaganda,1
279,56067911,1884911748387365080,Beatrix von Storch entlarvt die Union!,Propaganda,1
114,56069120,1888673174276948428,Starker Support für Olaf Scholz vor dem Studio!,Non-Propaganda,0
1758,56125727,1887207133994983607,Merzrede bei der Wahlkampftour der CDU in Singen,Non-Propaganda,0
609,56618687,1887464806753472783,Die Parteien im Mietencheck: CarenLay hat sich die Wahlprogramme der Parteien ganz genau angeschaut.,Non-Propaganda,0
1662,56065860,1885425110862954769,Dafür hat unser Kanzlerkandidat heute im Deutschen Bundestag geworben.,Non-Propaganda,0
1957,56065791,1890081815227994410,"CSU-Söder soll erklären, warum der abgelehnte Afghane nicht abgeschoben wurde.",Non-Propaganda,0
1015,56119375,1878035988401754170,"Es lohnt sich zu gucken, was Merz 2008 in seinem Buch mal aufgeschrieben hat.",Non-Propaganda,0
457,56620890,1883224314188591358,"._FriedrichMerz betont in Fulda, was jetzt in der Sicherheitspolitik gefordert ist: „Die größte Bedrohung für Putin ist die Strahlkraft der Demokratie.",Propaganda,1
924,56616163,1893399295828652127,Wir verteidigen unseren Frieden und sichern unsere Freiheit - zusammen mit unseren internationalen Partnern und der Ukraine.,Propaganda,1
333,56626955,1887202997328908380,Ihr seid der Wahnsinn,Non-Propaganda,0
1047,56615536,1878046644786110603,Deshalb müssen die Netzentgelte runter!,Non-Propaganda,0
568,56123272,1888565174505726299,Wir wollen keine Leihstimmen.,Non-Propaganda,0
1121,56068713,1891152803252383863,Nur noch eine Woche bis zur Bundestagswahl.,Non-Propaganda,0
1239,56122195,1883201713810870622,Dafür haben Olaf Scholz und Nancy Faeser gesorgt.,Non-Propaganda,0
431,56618281,1877719446568984603,Alice Weidel im Nius-Interview,Non-Propaganda,0
1517,56123841,1889213036541464626,Das ist ermüdend.,Non-Propaganda,0
1945,56619892,1877635682996298205,Eskalationsspirale beenden!,Propaganda,1
1026,56068533,1885370301367689717,Die Mehrheit im Land wünscht sich eine Begrenzung der Migration.,Propaganda,1
724,56068940,1888592891947127101,"Im letzten Sommer geschrieben, heute aktueller denn je: Lassen wir uns nicht verhärten.",Propaganda,1
1648,56626841,1888674192662376932,Wann beginnen sie eigentlich über die wirklichen Probleme zu reden?,Non-Propaganda,0
1156,56297403,1890041328974885113,Der Anschlag in München erschüttert mich.,Non-Propaganda,0
772,56617841,1890764972025630802,"Während Friedensverhandlungen bereits angekündigt sind, bleibt Merz auf seinem wahnwitzigen Konfrontationskurs.",Propaganda,1
726,56066591,1882466152347316490,"In vier Jahren Ampel-Außenpolitik herrschten Zögern, Zaudern und Taktieren statt Klarheit und Verlässlichkeit.",Propaganda,1
1399,56071927,1888682794592719270,"Und wer noch nie eingezahlt hat, der kann auch kein Bürgergeld bekommen.",Propaganda,1
1603,56615851,1885609073661349937,Das hat diese Woche wieder gezeigt.,Non-Propaganda,0
636,56071651,1889295610563506401,"Deshalb müssen diese Themen in den Mittelpunkt der Debatte rücken, sagt katdro im Bundestag",Non-Propaganda,0
183,56616582,1877990050278863313,Gestern war ein wichtiger Tag:,Non-Propaganda,0
53,56067905,1880349863726182893,"Wir stehen an der Seite der Beschäftigten, auch wenn es darum geht, mehr Gerechtigkeit im Steuersystem herzustellen.",Propaganda,1
555,56066541,1875443154154885496,"Mit dem NRW-Projekt „PeRiskoP“ wird seit 2022 nach Personen mit Risikopotenzial und damit auch nach psychisch kranken Gefährdern oder Personen, die sich gewaltbereit zeigen, geschaut.",Non-Propaganda,0
943,56618829,1889691472024289281,"Was schert uns die Bahn, nehmen wir halt das Privatflugzeug...",Non-Propaganda,0
1766,56068742,1891614843200815341,Deutschland ist Einwanderungsland.,Propaganda,1
1248,56303294,1891226959461699664,Die Kosten für Bauen müssen runter.,Propaganda,1
1051,56303058,1878172355421163880,Der erste Tag unseres Bundesparteitages in Riesa neigt sich dem Ende zu.,Non-Propaganda,0
1204,56066130,1886420675348361634,Rede von Markus Söder am CDU-Parteitag live aus Berlin,Non-Propaganda,0
952,56621240,1890133942243655835,Daran können wir alle mitarbeiten.,Non-Propaganda,0
1617,56616206,1884600809540800616,"Das ist der Maßstab, den unser Grundgesetz vorgibt.",Non-Propaganda,0
424,56627059,1892572227079377380,Na klar... Da sind ja die Gedächtnislücken von Olaf Scholz glaubwürdiger!,Propaganda,1
1877,56123420,1892830693731737913,"Im Weidel-Modell von zwei Jahren sicher gut 100 Mrd. Euro, wenn man dieses Gutachten hier sieht.",Non-Propaganda,0
248,56619978,1889997622083203446,Jan_vanAken und BodoRamelow stellen Lösungen für die deutsche Bahn-Krise vor Linke,Non-Propaganda,0
1978,56619063,1882837090846834828,Ein motivierender Aufruf in der heutigen FAZ.,Non-Propaganda,0
79,56620007,1892225835131920813,"Die nächsten vier Jahre könnten die entscheidenden sein: beim Klimaschutz, für unsere Infrastruktur, dafür wohin sich unser Land entwickelt.",Propaganda,1
642,56299258,1880581915285377534,Wir begrüßen den designierten fdp-Generalsekretär MarcoBuschmann in Erlangen.,Non-Propaganda,0
98,56067806,1891471980144009279,Gleich startet die Pressekonferenz mit fbrantner Hier geht's zum Livestream:,Non-Propaganda,0
27,56071826,1875539734380081338,Ex-Zensurkommissar ThierryBreton will mein Gespräch mit ElonMusk mit Drohungen vorab reglementieren.,Propaganda,1
1099,56066056,1891209565565276512,"Frau Weidel, Sie adeln Herrn Höcke als ein potenzielles Kabinettsmitglied.",Non-Propaganda,0
1298,56304735,1876988282266935657,Am 23. Februar entscheiden die Wählerinnen und Wähler über die Stärke der Parteien.,Non-Propaganda,0
1185,56118421,1880586497898037600,"Wer Habeck einen Schwachkopf nennt, bekommt sofort eine Hausdurchsuchung.",Propaganda,1
682,56071895,1881978596765691984,"Ich finde, Theo Albrecht Junior soll mal was sinnvolles machen.",Non-Propaganda,0
1189,56123547,1889683526162743297,"Wenn die Sehnsucht so groß ist: Ja, dann komme ich.",Non-Propaganda,0
1697,56118595,1890400784925216919,"Die SPD steht seit jeher für gesellschaftlichen Fortschritt und engagiert sich seit 160 Jahren leidenschaftlich dafür, dass Frauen echte Wahlfreiheit haben und ihr Leben so gestalten können, wie sie das wollen.",Propaganda,1
1236,56617733,1888694974381736328,Wie es uns nach diesem TVDuell geht ...,Non-Propaganda,0
383,56298419,1890024954785071105,Meine Gedanken sind bei den Opfern und ihren Familien.,Non-Propaganda,0
1931,56297270,1884865067704779027,Die Grünen heucheln gerne Transparenz.,Propaganda,1
700,56621344,1885366398341308554,Deswegen ist jetzt Handeln geboten.,Propaganda,1
621,56071614,1889021019832345052,"Der Bundestag sollte morgen auch der Zehntausenden unschuldigen Palästinenser gedenken, die in Gaza getötet wurden.",Non-Propaganda,0
938,56126590,1893440497848291518,"Deutschland braucht Zukunft, keine Blockade.",Propaganda,1
1596,56069359,1878758890864628072,"DÜRFEN, WAS MAN WILL: Meinungsfreiheit ist ein Grundrecht, das unter Druck steht.",Propaganda,1
1544,56620176,1873764643795329393,"Es geht nicht, dass Menschen, die einen deutschen Aufenthaltstitel haben, hier wiederholt Straftaten begehen.",Non-Propaganda,0
880,56065355,1885736256174223729,"Stagnation, Heizungschaos, Verweigerung bei der Begrenzung von Migration und Bevormundung erwachsener Menschen.",Propaganda,1
1044,56068693,1890392434443534587,Millionen Rentner könnten entlastet werden.,Propaganda,1
1859,56124627,1881741556992065791,Danke an benner_ch und den Vorstand der IGMetall für die Einladung und den konstruktiven Austausch!,Non-Propaganda,0
447,56621274,1887070816744923618,Werde Teil des TeamHabeck!,Non-Propaganda,0
1591,56620637,1885220272636125242,Schon in der Weimarer Republik wurde 1930 ein Verbot der NSDAP gefordert.,Non-Propaganda,0
763,56118488,1893289648429863225,"In den letzten 10 Jahren sind die Mieten in Berlin, Leipzig, München und Hamburg um 101, 58, 49 und 33% gestiegen.",Non-Propaganda,0
1515,56067312,1890403856128897521,"12 Gründe, warum die SPD für Frauen die bessere Wahl ist.",Non-Propaganda,0
1412,56620673,1882154388384592038,"Nur hat die ganze Ampel Schaden genommen, denn spätere Korrekturen am Gesetz hat keiner wahrgenommen.",Non-Propaganda,0
436,56123022,1884595439845974022,Der Zusammenhalt Europas ist kein Spieleinsatz.,Propaganda,1
803,56615937,1878817541780541716,Wir haben dafür heute ein Konzept vorgelegt.,Non-Propaganda,0
122,56618823,1889054684293247109,Sie brauchen das Geld und viele arbeiten und stocken auf.,Non-Propaganda,0
1623,56119329,1888157782940979432,Wir müssen klar sagen:,Non-Propaganda,0
899,56620830,1891229012673827161,"Je mehr Strom aus Erneuerbaren, desto günstiger die Energiepreise.",Propaganda,1
817,56122323,1890113958419599565,Für mich ist im Rückblick auf die letzten Jahre ganz klar:,Non-Propaganda,0
1184,56118410,1891760692149002249,"Das, und was wir dafür vorhaben, erfährst du im Video.",Non-Propaganda,0
1237,56117957,1887852563938021771,Den Comedian Abdul Chahin nerven linke Menschen im Allgemeinen oft.,Non-Propaganda,0
1780,56122790,1891022633149333898,Deshalb am 23.02. FDP wählen.,Non-Propaganda,0
1033,56122176,1888682766340133365,"Die CDU entlastet vor allem die reichsten 10 % – diejenigen, die es am wenigsten brauchen.",Propaganda,1
1090,56621691,1890796406652178479,Fragt nicht uns.,Non-Propaganda,0
494,56118403,1876666360308318496,In vielen Fällen rechnen Vermieter Heizkosten pauschal falsch ab.,Non-Propaganda,0
370,56620869,1885311624631721989,"Auf dieser Grundlage kann niemand, der die Dinge zu Ende denkt, bei der heutigen Abstimmung einschlagen.",Propaganda,1
604,56297766,1876995363862684123,Wir sagen ganz klar: Diese gesetzlich verordnete Lohndrückerei ist ein Angriff auf alle Arbeitnehmerinnen und Arbeitnehmer!,Propaganda,1
551,56621281,1880649994153140621,"HeidiReichinnek Jetzt selbst checken, ob du Geld zurückbekommst:",Non-Propaganda,0
1238,56121581,1890856852188983296,Direkt nach der MSC2025 besuchte _FriedrichMerz die CSU und katrin_staffler in Bayern.,Non-Propaganda,0
846,56118897,1891532325097209895,Damit unsere Zukunft nicht zu kurz kommt: Grün wählen für Habeck.,Propaganda,1
1536,56620846,1893397944805548050,"Niemand wird Milliardär, weil er fleißig ist.",Propaganda,1
1208,56118753,1879179374337122774,"Die CDU belässt es nicht dabei, Positionen der AfD abzuschreiben & dann nicht umzusetzen.",Propaganda,1
1310,56066885,1888689884078239768,"Politik heißt, Prioritäten zu setzen.",Propaganda,1
1905,56618679,1884329611061784729,"Kein Mensch ist so klug, kein Mensch kann so hart arbeiten.",Propaganda,1
410,56299487,1892890988818935842,Nur die AfD schafft die CO₂-Abzocke ab!,Propaganda,1
1866,56119467,1888592891947127101," Angelehnt an das Lied von Wolf Biermann, heißt so eines der Kapitel aus meinem Buch ""Den Bach rauf"".",Non-Propaganda,0
776,56617662,1890133942243655835,Denn: Demokratie ist kein Zuschauersport.,Propaganda,1
1420,56297576,1878019644390273046,Unser Parteitag beginnt: Wir küren unseren Kanzlerkandidaten OlafScholz und beschließen unser Regierungsprogramm.,Non-Propaganda,0
1505,56617507,1877994061669294174,Wir starten mit einer QR-Lichtshow in den Parteitag.,Non-Propaganda,0
1938,56303417,1877272069341172050,"Versuche, Arbeitnehmer dafür zu bestrafen, dass sie krank sind, kann man nur als unmoralisch bezeichnen.",Propaganda,1
1738,56617156,1881719601966531023,In der kommenden Woche soll im Bundestag die bessere Unterstützung von Opfern des SED-Unrechts beschlossen werden.,Non-Propaganda,0
612,56619210,1893316071249076460,"Es ist ein dümmlicher Irrglaube, Drogen zu erlauben, um illegale Geschäfte einzudämmen.",Propaganda,1
452,56617011,1889059295972753894,"Dorothee Bär möchte, dass sich mehr Leute ein Haus leisten können – woher das Geld dafür kommen soll, ist mit ihrem Steuermodell aber nicht zu erklären.",Non-Propaganda,0
818,56621472,1888671867403436160,"Das ist das TVDuell, das heute in der ARD läuft.",Non-Propaganda,0
1213,56626982,1885362063192543589,Wir wollen eine neue Realpolitik in der Migration – getragen von der demokratischen Mitte.,Propaganda,1
141,56617969,1888687805494387103,"Merz hingegen gönnt keine 15€-Mindestlohn, aber ist dabei, wenn Spitzenverdiener entlastet werden.",Propaganda,1
1470,56619851,1891714133512671233,Es gehe um die Bekämpfung der Hamas (die Netanyahu einst förderte) wurde behauptet.,Non-Propaganda,0
1017,56616691,1890358351449432233,Die FDP steht laut Allensbach bei 5% (+1).,Non-Propaganda,0
480,56119169,1891234595166634122,Friedrich Merz hat ein klares Ziel:,Non-Propaganda,0
1582,56296386,1874800096971477027,"Bürgerkriegsähnliche Zustände in Deutschlands Großstädten: Die Bürger, die einfach nur feiern wollten, zahlten auch diesmal die Zeche für die Migrationspolitik.",Propaganda,1
1244,56069388,1885256838372872417,"Alles wäre schon längst auf dem Weg, wenn Noch-Kanzler Scholz nicht die ganze Zeit blockiert hätte!",Propaganda,1
606,56621515,1877393949309952444,"Je besser die Umfragen für , desto schlechter lässt sich das ignorieren.",Non-Propaganda,0
895,56620911,1877814963500208347,Der CDU-Bundesvorstand hat die Agenda2030 beschlossen.,Non-Propaganda,0
590,56065639,1887074223610384567,"Unglaublich, dass das immer noch weiterläuft.",Non-Propaganda,0
1791,56119202,1881628882182533388,Jeder verdient Entlastung.,Propaganda,1
1792,56616775,1876220330123088224,"Der Verbrennungsmotor ist nicht das Problem, wir müssen ihn nur umweltfreundlich machen“, so Hans-Ulrich ruelke bei 3K25. AllesLässtSichÄndern",Non-Propaganda,0
1717,56123222,1888488010066350356,Das ist unsere MitteGarantie.,Propaganda,1
391,56304804,1888683942137541010,Warum soll man so doof sein?,Propaganda,1
873,56620543,1889272065498235085,"roberthabeck erklärt, wie wir die Zukunft gestalten können",Non-Propaganda,0
953,56068335,1889270056128778444,Die aber speist die CDU in ihrem Steuermodell mit mickrigen 10 € Entlastung im Monat ab.,Propaganda,1
1100,56618335,1884992605391380581,"Kommt vorbei, lasst uns reden.",Non-Propaganda,0
1210,56117749,1888976549489135630,Ab 17h live auf Das Thema beschäftigt die Menschen in diesem Land.,Non-Propaganda,0
1952,56616604,1887533389529453045,"Wir müssen den Mut haben, in diesem Land Realitäten zu benennen, die nicht allen gefallen.",Propaganda,1
1975,56066154,1884586779023720752,"Die schrecklichen Verbrechen von Mannheim, Solingen, Magdeburg und Aschaffenburg müssen endlich zu realen Schritten führen, die unkontrollierte Migration zu stoppen.",Propaganda,1
1453,56621653,1888673464032301459,Und die Regierung?,Non-Propaganda,0
600,56119392,1887782471548227796,Live: Mega-Veranstaltung mit Alice Weidel in Kusel!,Non-Propaganda,0
1320,56068970,1881304255707091386,Bayern stark in Deutschland.,Propaganda,1
1054,56066165,1893036138555695531,"Ich frage diejenigen, die in den letzten Wochen bei den Demos gegen rechts dabei waren:",Non-Propaganda,0
1918,56125760,1883962586544341021,"Auschwitz mahnt uns, nie wegzusehen, wenn Menschen diskriminiert, verfolgt oder Feindbilder geschürt werden.",Non-Propaganda,0
1293,56066189,1878080990813229528,Unser Kanzlerkandidat OlafScholz.,Non-Propaganda,0
509,56298458,1891536676519862761,Dafür: beide Stimmen Grün.,Propaganda,1
1840,56126481,1882028954208321792,Schließ dich Konstantin und uns an!,Non-Propaganda,0
1171,56296391,1884202686511473118,Deutschland braucht Macher und keine Schwätzer!,Propaganda,1
363,56615944,1887414038134726935,Trump will sich Gaza einverleiben und ethnisch säubern lassen.,Propaganda,1
1435,56619932,1886747306348744758,Die beste Antwort auf Trump ist unsere Versorgungssicherheit durch gute Handelsbeziehungen im Ost wie West sicherzustellen.,Propaganda,1
1150,56297761,1888673753883644194,"Olaf Scholz warnt davor, europäisches Recht zu brechen…",Non-Propaganda,0
1071,56067262,1886753242924663183,"Wir müssen dieses Monstrum Bürokratie in den Griff bekommen, denn sie ist das größte Problem der deutschen Wirtschaft!",Propaganda,1
1386,56297645,1888649099949580402,"Bei meinem Wiedereinstieg in die Politik habe ich auf diese Studie aufmerksam gemacht, die belegt:",Non-Propaganda,0
1380,56615518,1873672198067556621,"Hier ist jetzt ein wenig Sendepause, da nach neun Monaten intensiver Arbeit in Brüssel & Straßburg ein Buch fertig geschrieben und nebenbei etwas getankt werden muss.",Non-Propaganda,0
1714,56616839,1889257979590979940,Eine Veränderung der politischen Kultur.,Non-Propaganda,0
1562,56621524,1878458451321389210,Deutschland auf die 1.,Propaganda,1
1949,56124380,1881967536767652193,Jetzt Mitglied werden!,Non-Propaganda,0
881,56616420,1889688180804260329,"Statt Jugendliche zu schützen, fördert sie gesundheitliche Schäden.",Propaganda,1
1823,56126757,1881989806940639732,"Robert Habeck hat schon als mein Kabinettskollege nie begreifen wollen, dass der Gewinn einer Kapitalgesellschaft in der Gesellschaft und beim Steuerpflichtigen zweimal besteuert wird.",Non-Propaganda,0
169,56620759,1887201896324026621,Jetzt passiert dem SWR das Selbe.,Non-Propaganda,0
177,56297752,1888309947097915466,In der spdde – an der Spitze,Non-Propaganda,0
1964,56067814,1884587899401937248,BUNDESTAG LIVE - Große Asyldebatte der Kanzlerkandidaten weidel,Non-Propaganda,0
351,56119102,1888566782178295866,Unsere Veranstaltung in Heidenheim!,Non-Propaganda,0
1152,56594683,1891228126392279368,"Die AfD hat absolut nichts im Angebot für Wachstum, Entlastungen, bessere Löhne, verlässliche Energiepreise... nur heiße Luft, das macht OlafScholz im Quadrell sehr klar.",Propaganda,1
125,56617909,1881309153588813972,.MartinHuberCSU: Die Ampel hat Bayern bewusst benachteiligt.,Propaganda,1
916,56618812,1892297558505951311,.OlafScholz verweigert sich im Kanzlerduell von welt und BILD einer echten Reform beim Bürgergeld.,Propaganda,1
540,56069707,1877703357642494045,Wir haben ein eklatantes Problem in der Wirtschaftspolitik in Deutschland.,Propaganda,1
263,56071752,1888690864802672967,"So viel zum Thema ""garantieren"".",Non-Propaganda,0
1392,56621592,1885756672624222481,Ergreif Partei für soziale Gerechtigkeit:,Propaganda,1
1722,56123832,1888543378658181262,Mein Brief an die Bürgerinnen und Bürger:,Non-Propaganda,0
1104,56118276,1875539734380081338,"Die EU-Kommission agiert undemokratisch, und das Zensurgesetz DSA ist eine Schande für Europa!",Propaganda,1
1886,56125592,1880604750804086917,Wir stehen an der Seite der Widerstand leistenden Menschen in Rojava.,Propaganda,1
1308,56069049,1892278808365183324,"Dieser Wahlkampf zeigt: Wir sind viele, wir sind entschlossen – und wir",Propaganda,1
757,56617980,1891434964001948089,Bildung statt Waffen!,Propaganda,1
1900,56123411,1888114165165817957,Vorsicht mit dem Heldenepos : Als Deutscher Held in der Ukraine wurde der Ex-Soldat Ben R. in der Presse geführt:,Non-Propaganda,0
1050,56620571,1892303622597185705,Am Sonntag mit beiden Stimmen CDU wählen.,Non-Propaganda,0
192,56066922,1889323926771114344,Die Linke zu einem Pol der Hoffnung.,Propaganda,1
74,56620722,1885396459060945264,"Wir haben gesagt, was wir denken und was wir für richtig halten.",Non-Propaganda,0
1300,56122145,1890705272596758530,2. Die FDP hat die mutigsten Vorschläge für die Wirtschaftswende.,Propaganda,1
1355,56618048,1892891355904344110,Die Standortschwäche Deutschlands ist alarmierend - wir brauchen endlich wieder eine funktionierende Wirtschaftspolitik - für eine echte Wirtschaftswende!,Propaganda,1
1477,56621538,1884665451889733641,Das ist ungeheuerlich und eine Zäsur für unser Land.,Non-Propaganda,0
157,56071515,1891216156859527631,"Erneuerbare, grüner Wasserstoff, E-Mobilität und digitale Infrastruktur.",Non-Propaganda,0
18,56617926,1883825302205562957,"Wir sagen nein zur Krankenhausreform von Lauterbach und zur Renditeorientierung im Gesundheitswesen, für die auch Union, FDP und AfD stehen.",Propaganda,1
1549,56118300,1890301883320795344,"Egal, ob wir uns im Wahlkampf oder in Zeiten der Regierungsbildung befinden, die demokratischen Parteien müssen bei diesen Herausforderungen zusammenarbeiten und richtige Konsequenzen ziehen, die die Sicherheitslage verbessern",Propaganda,1
251,56068795,1886030139844178311,Kündigung weil du in der Linksjugend bist?,Non-Propaganda,0
1041,56618515,1875927613447049333,"Klartext von Ökonom Hans-Werner Sinn: Heizungsdiktat und Zerstörung der Gasnetze sind kranke grüne Planwirtschaft, die in Generationen geschaffene Vermögenswerte vernichtet.",Propaganda,1
1927,56068864,1891139527781257691,"Ein lesenswertes Interview des Vordenkers des asiatischen Jahrhunderts Kishore Mahbubani mit ein paar Ohrfeigen für vonderleyen und ABaerbock , die in einer Blase leben würden und Rest der Welt nicht verstünden.",Propaganda,1
747,56303389,1888488010066350356,Jetzt den ganzen Brief von Bundeskanzler Olaf Scholz lesen:,Non-Propaganda,0
168,56618983,1889054684293247109,Sie reden sofort von Missbrauch.,Non-Propaganda,0
1740,56615991,1884621586092765387,Alice Weidel fordert das Ende der Brandmauer zum Wohle Deutschlands.,Propaganda,1
1422,56617707,1888683868917727695,"Friedrich Merz hat sein Versprechen, nicht mit der extremen Rechten zusammen zu arbeiten, gebrochen.",Propaganda,1
1094,56122635,1893049632504103101,"Darum müssen wir den Unternehmen, die hier bei uns investieren, jetzt helfen zu investieren.",Propaganda,1
451,56619652,1888699885936865541,".Markus_Soeder: Wenn die demokratischen Parteien der Mitte nicht die Kraft finden, die drängenden Probleme zu lösen, gewinnen am Ende nur die Radikalen.",Propaganda,1
675,56123919,1891204080527184103,DAS brauchen wir für eine Wirtschaftswende.,Non-Propaganda,0
1078,56618409,1876226708480970829,Wir stehen für wirtschaftliche Freiheit und für die Freiheit der Bürgerrechte“ so MarcoBuschmann bei 3K25.,Propaganda,1
1383,56620087,1890010318283190752,"Ihnen gute, gute Genesung!",Non-Propaganda,0
1163,56069041,1885016059050180683,Beim Thema Atomkraft hatte der Kanzler mal wieder Erinnerungslücken.,Propaganda,1
524,56121881,1892207049947181461,Hallo und herzlich willkommen an alle neuen Mitglieder!,Non-Propaganda,0
1049,56618391,1892712954358857855,"Gerade die Extremreichen, also die Milliardäre, müssen sich viel stärker an der Gemeinschaft beteiligen.",Propaganda,1
346,56621265,1887486892351918137,Jetzt machen wir ihn richtig günstig – dafür müssen wir nur klug investieren.,Non-Propaganda,0
